"state","section"
"E_S","Ia"
"F_L","Ia"
"G_S","Ia"
"Gb_L","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"E_S","Ia"
"F_L","Ia"
"G_S","Ia"
"Gb_L","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"E_S","Ib"
"F_L","Ib"
"G_S","Ib"
"Gb_L","Ib"
"E_S","Ib"
"F_L","Ib"
"G_S","Ib"
"Gb_L","Ib"
"E_S","Ib"
"F_L","Ib"
"G_S","Ib"
"Gb_L","Ib"
"E_S","Ib"
"E_S","Ib"
"E_S","Ib"
"E_L","Ib"
"A_S","IV"
"Bb_L","IV"
"C_S","IV"
"B_L","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"A_S","IV"
"Bb_L","IV"
"C_S","IV"
"B_L","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"E_S","Ic"
"F_L","Ic"
"G_S","Ic"
"Gb_L","Ic"
"E_S","Ic"
"F_L","Ic"
"G_S","Ic"
"Gb_L","Ic"
"E_S","Ic"
"F_L","Ic"
"G_S","Ic"
"Gb_L","Ic"
"E_L","Ic"
"A_S","Ic"
"A_L","Ic"
"E_L","Ic"
"A_S","V"
"A_L","V"
"Eb_L","V"
"E_L","V"
"C_L","V"
"A_S","V"
"A_S","V"
"A_L","V"
"Eb_L","V"
"E_L","V"
"Eb_L","V"
"E_L","V"
"G_S","V"
"G_L","V"
"A_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_L","Id"
"G_L","Id"
