"state","section"
"E_L","Ia"
"G_L","Ia"
"D_S","Ia"
"D_L","Ia"
"C_L","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"E_L","Ia"
"G_L","Ia"
"D_L","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"E_L","Ib"
"G_L","Ib"
"D_S","Ib"
"D_L","Ib"
"C_L","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"E_L","Ib"
"G_L","Ib"
"D_L","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"A_L","IV"
"C_L","IV"
"G_S","IV"
"G_L","IV"
"F_L","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"A_L","IV"
"C_L","IV"
"G_L","IV"
"F_S","IV"
"F_S","IV"
"F_S","IV"
"F_S","IV"
"F_L","IV"
"E_L","Ic"
"G_L","Ic"
"D_S","Ic"
"D_L","Ic"
"C_L","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"E_S","Ic"
"E_L","Ic"
"D_L","Ic"
"Db_S","Ic"
"Db_S","Ic"
"Db_S","Ic"
"Db_L","Ic"
"A_L","Ic"
"C_S","V"
"C_L","V"
"C_L","V"
"C_L","V"
"A_L","V"
"C_S","V"
"C_S","V"
"C_L","V"
"E_L","V"
"F_L","V"
"Gb_L","V"
"G_L","V"
"E_S","V"
"E_L","V"
"G_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_L","Id"
