"state","section"
"R_L","Ia"
"C_S","Ia"
"C_L","Ia"
"C_L","Ia"
"A_S","Ia"
"A_L","Ia"
"A_S","Ia"
"A_L","Ia"
"E_S","Ia"
"E_L","Ia"
"E_L","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"R_L","Ib"
"C_S","Ib"
"C_L","Ib"
"C_L","Ib"
"A_S","Ib"
"A_L","Ib"
"A_S","Ib"
"A_L","Ib"
"E_S","Ib"
"E_L","Ib"
"E_L","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"R_L","IV"
"C_S","IV"
"C_L","IV"
"C_L","IV"
"A_S","IV"
"A_L","IV"
"A_S","IV"
"A_L","IV"
"Eb_S","IV"
"Eb_L","IV"
"Eb_L","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"R_L","Ic"
"C_S","Ic"
"C_L","Ic"
"C_L","Ic"
"A_S","Ic"
"A_L","Ic"
"A_S","Ic"
"A_L","Ic"
"E_S","Ic"
"E_L","Ic"
"E_L","Ic"
"A_S","Ic"
"A_S","Ic"
"A_S","Ic"
"A_L","Ic"
"E_L","Ic"
"A_S","V"
"A_L","V"
"Eb_L","V"
"E_L","V"
"C_L","V"
"A_S","V"
"A_S","V"
"A_L","V"
"G_L","V"
"F_L","V"
"G_L","V"
"F_L","V"
"Eb_S","V"
"Eb_L","V"
"D_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_L","Id"
