"state","section"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"R_L","Ia"
"G_L","Ia"
"Bb_S","Ia"
"Bb_L","Ia"
"A_L","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"G_L","Ia"
"A_L","Ia"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"R_L","Ib"
"G_L","Ib"
"Bb_L","Ib"
"G_L","Ib"
"A_L","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"C_L","Ib"
"D_L","Ib"
"F_S","IV"
"F_S","IV"
"F_S","IV"
"F_S","IV"
"F_S","IV"
"F_L","IV"
"R_L","IV"
"C_L","IV"
"Eb_S","IV"
"Eb_L","IV"
"D_L","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"E_L","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"B_S","Ic"
"B_L","Ic"
"A_L","Ic"
"E_S","Ic"
"E_S","Ic"
"E_S","Ic"
"E_S","Ic"
"E_L","Ic"
"G_S","V"
"G_L","V"
"G_L","V"
"G_L","V"
"F_L","V"
"G_S","V"
"G_S","V"
"G_L","V"
"R_S","V"
"R_L","V"
"Eb_L","V"
"E_L","V"
"G_S","V"
"E_L","V"
"D_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
