"state","section"
"R_S","Ia"
"R_L","Ia"
"C_S","Ia"
"C_L","Ia"
"G_S","Ia"
"G_L","Ia"
"Ab_S","Ia"
"Ab_L","Ia"
"A_L","Ia"
"Ab_L","Ia"
"A_L","Ia"
"Bb_L","Ia"
"A_S","Ia"
"A_L","Ia"
"G_L","Ia"
"G_L","Ia"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"R_S","Ib"
"R_L","Ib"
"R_S","IV"
"R_L","IV"
"C_S","IV"
"C_L","IV"
"Ab_S","IV"
"Ab_L","IV"
"A_S","IV"
"A_L","IV"
"C_L","IV"
"Ab_L","IV"
"A_L","IV"
"C_L","IV"
"A_S","IV"
"A_L","IV"
"F_L","IV"
"C_L","IV"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"R_L","Ic"
"G_L","Ic"
"Bb_L","V"
"B_L","V"
"Bb_L","V"
"B_L","V"
"A_L","V"
"G_S","V"
"G_S","V"
"G_L","V"
"R_L","V"
"G_L","V"
"A_L","V"
"B_L","V"
"A_S","V"
"A_L","V"
"G_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_L","Id"
