"state","section"
"G_S","Ia"
"G_L","Ia"
"G_L","Ia"
"G_S","Ia"
"G_L","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"G_L","Ia"
"Eb_L","Ia"
"Eb_L","Ia"
"C_L","Ia"
"Eb_L","Ia"
"D_S","Ia"
"D_L","Ia"
"C_L","Ia"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"C_L","Ib"
"G_S","IV"
"G_L","IV"
"G_L","IV"
"G_S","IV"
"G_L","IV"
"F_S","IV"
"F_S","IV"
"F_L","IV"
"R_L","IV"
"G_L","IV"
"G_L","IV"
"F_L","IV"
"Eb_S","IV"
"Eb_L","IV"
"D_L","IV"
"C_L","IV"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"Eb_L","Ic"
"E_L","Ic"
"G_S","V"
"G_L","V"
"G_L","V"
"G_L","V"
"F_L","V"
"G_S","V"
"G_S","V"
"G_L","V"
"R_L","V"
"G_L","V"
"G_L","V"
"F_L","V"
"Eb_S","V"
"Eb_L","V"
"D_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
