"state","section"
"G_L","Ia"
"G_L","Ia"
"R_S","Ia"
"R_S","Ia"
"R_S","Ia"
"R_S","Ia"
"R_S","Ia"
"R_L","Ia"
"G_L","Ia"
"G_L","Ia"
"R_S","Ia"
"R_L","Ia"
"G_L","Ia"
"G_L","Ia"
"R_S","Ia"
"R_L","Ia"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"C_L","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_L","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_L","Ib"
"G_L","IV"
"G_L","IV"
"R_S","IV"
"R_S","IV"
"R_S","IV"
"R_S","IV"
"R_S","IV"
"R_L","IV"
"G_L","IV"
"G_L","IV"
"R_S","IV"
"R_L","IV"
"G_L","IV"
"G_L","IV"
"R_S","IV"
"R_L","IV"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"C_L","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_L","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_L","Ic"
"G_L","V"
"G_L","V"
"R_S","V"
"R_S","V"
"R_S","V"
"R_S","V"
"R_S","V"
"R_L","V"
"G_L","V"
"G_L","V"
"R_S","V"
"R_L","V"
"G_L","V"
"G_L","V"
"R_S","V"
"R_L","V"
"G_S","Id"
"G_S","Id"
"G_L","Id"
"C_L","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_L","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_L","Id"
