"state","section"
"E_S","Ia"
"E_L","Ia"
"E_L","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"G_L","Ia"
"Eb_L","Ia"
"E_S","Ia"
"E_L","Ia"
"E_L","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"R_L","Ia"
"Eb_L","Ia"
"E_S","Ib"
"E_L","Ib"
"E_L","Ib"
"Eb_L","Ib"
"E_S","Ib"
"E_L","Ib"
"E_L","Ib"
"Eb_L","Ib"
"E_S","Ib"
"E_S","Ib"
"E_S","Ib"
"E_L","Ib"
"R_L","Ib"
"A_S","Ib"
"A_L","Ib"
"F_L","Ib"
"A_S","IV"
"A_L","IV"
"A_L","IV"
"F_S","IV"
"F_S","IV"
"F_L","IV"
"A_L","IV"
"Ab_L","IV"
"A_L","IV"
"Ab_L","IV"
"A_L","IV"
"F_S","IV"
"F_S","IV"
"F_L","IV"
"G_L","IV"
"Gb_L","IV"
"G_S","Ic"
"G_L","Ic"
"G_L","Ic"
"Gb_L","Ic"
"G_S","Ic"
"G_L","Ic"
"G_L","Ic"
"Gb_L","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"G_L","Ic"
"A_L","Ic"
"B_L","Ic"
"G_L","Ic"
"A_S","V"
"A_L","V"
"A_L","V"
"G_S","V"
"G_S","V"
"G_L","V"
"R_S","V"
"R_L","V"
"Eb_L","V"
"E_L","V"
"D_L","V"
"E_L","V"
"G_L","V"
"E_L","V"
"Eb_L","V"
"D_L","V"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_L","Id"
"G_L","Id"
"G_L","Id"
"G_S","Id"
"G_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"G_L","Id"
"Eb_L","Id"
