"state","section"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"E_S","Ib"
"E_S","Ib"
"E_S","Ib"
"E_S","Ib"
"E_S","Ib"
"E_S","Ib"
"E_S","Ib"
"E_L","Ib"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"C_S","IV"
"C_L","IV"
"A_S","IV"
"A_L","IV"
"C_S","IV"
"C_L","IV"
"A_S","IV"
"A_L","IV"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"E_S","Ic"
"E_S","Ic"
"E_S","Ic"
"E_L","Ic"
"G_L","Ic"
"A_L","Ic"
"B_L","Ic"
"G_L","Ic"
"A_L","V"
"G_L","V"
"A_L","V"
"G_S","V"
"G_S","V"
"G_S","V"
"G_S","V"
"G_L","V"
"Eb_L","V"
"E_L","V"
"Eb_L","V"
"E_L","V"
"G_L","V"
"G_L","V"
"G_S","V"
"G_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"G_L","Id"
"Eb_L","Id"
