"state","section"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"R_L","Ia"
"E_L","Ia"
"G_L","Ia"
"E_L","Ia"
"G_L","Ia"
"E_L","Ia"
"G_L","Ia"
"E_L","Ia"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"R_L","Ib"
"E_L","Ib"
"G_L","Ib"
"E_L","Ib"
"G_L","Ib"
"E_L","Ib"
"G_L","Ib"
"E_L","Ib"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"R_L","IV"
"F_L","IV"
"A_L","IV"
"F_L","IV"
"A_L","IV"
"F_L","IV"
"A_L","IV"
"F_L","IV"
"A_S","Ic"
"A_S","Ic"
"A_S","Ic"
"A_S","Ic"
"A_S","Ic"
"A_L","Ic"
"A_L","Ic"
"G_L","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"R_S","Ic"
"R_L","Ic"
"G_S","Ic"
"A_L","Ic"
"B_S","V"
"B_S","V"
"B_L","V"
"A_L","V"
"G_L","V"
"F_S","V"
"F_S","V"
"F_L","V"
"C_S","V"
"C_S","V"
"C_L","V"
"A_L","V"
"G_S","V"
"A_L","V"
"Eb_S","V"
"Eb_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_L","Id"
"E_L","Id"
"G_L","Id"
"E_L","Id"
"G_L","Id"
"E_L","Id"
"G_L","Id"
"E_L","Id"
