"state","section"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"Eb_L","Ia"
"E_S","Ia"
"E_L","Ia"
"F_L","Ia"
"G_L","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"G_S","Ib"
"G_L","Ib"
"G_S","Ib"
"G_L","Ib"
"G_S","Ib"
"G_L","Ib"
"A_L","Ib"
"Bb_L","Ib"
"Bb_S","Ib"
"Bb_S","Ib"
"Bb_S","Ib"
"Bb_S","Ib"
"Bb_S","Ib"
"Bb_S","Ib"
"Bb_S","Ib"
"Bb_L","Ib"
"F_S","IV"
"F_L","IV"
"F_S","IV"
"F_L","IV"
"C_L","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"Eb_S","IV"
"Eb_L","IV"
"D_S","IV"
"D_L","IV"
"C_L","IV"
"A_S","IV"
"A_L","IV"
"C_L","IV"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"R_L","Ic"
"Eb_L","Ic"
"E_L","Ic"
"Eb_L","Ic"
"E_S","V"
"E_L","V"
"D_S","V"
"D_L","V"
"B_L","V"
"G_S","V"
"G_S","V"
"G_L","V"
"Eb_S","V"
"Eb_L","V"
"D_S","V"
"D_L","V"
"C_S","V"
"C_L","V"
"A_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_L","Id"
"G_L","Id"
"Gb_L","Id"
"F_L","Id"
