"state","section"
"E_S","Ia"
"E_L","Ia"
"G_S","Ia"
"G_L","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"G_L","Ia"
"F_L","Ia"
"F_L","Ia"
"G_S","Ia"
"G_L","Ia"
"B_S","Ia"
"B_L","Ia"
"D_L","Ia"
"C_L","Ia"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_L","Ib"
"C_S","Ib"
"D_L","Ib"
"Eb_L","IV"
"Eb_L","IV"
"D_S","IV"
"D_L","IV"
"C_L","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"Eb_L","IV"
"D_L","IV"
"Eb_L","IV"
"D_L","IV"
"C_S","IV"
"C_L","IV"
"A_L","IV"
"G_L","IV"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"R_L","Ic"
"E_S","Ic"
"E_L","Ic"
"D_L","Ic"
"E_L","V"
"E_L","V"
"F_S","V"
"F_L","V"
"E_L","V"
"D_L","V"
"B_L","V"
"G_L","V"
"F_S","V"
"F_L","V"
"G_S","V"
"G_L","V"
"B_S","V"
"B_L","V"
"D_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_L","Id"
