"state","section"
"C_L","Ia"
"E_L","Ia"
"G_L","Ia"
"A_S","Ia"
"A_L","Ia"
"G_L","Ia"
"E_S","Ia"
"E_L","Ia"
"C_S","Ia"
"C_L","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"C_L","Ib"
"E_L","Ib"
"G_L","Ib"
"A_S","Ib"
"A_L","Ib"
"G_L","Ib"
"E_S","Ib"
"E_L","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"F_L","IV"
"G_L","IV"
"A_L","IV"
"C_S","IV"
"C_L","IV"
"A_L","IV"
"C_S","IV"
"C_L","IV"
"A_S","IV"
"A_L","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"C_S","Ic"
"C_L","Ic"
"C_L","Ic"
"C_L","Ic"
"B_S","Ic"
"B_L","Ic"
"A_L","Ic"
"G_L","Ic"
"G_S","Ic"
"G_L","Ic"
"E_S","Ic"
"E_L","Ic"
"E_S","Ic"
"E_L","Ic"
"Eb_L","Ic"
"D_L","Ic"
"D_S","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_L","V"
"D_L","V"
"G_L","V"
"A_L","V"
"G_L","V"
"A_L","V"
"G_L","V"
"E_S","V"
"E_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_S","Id"
"R_L","Id"
