"state","section"
"E_S","Ia"
"E_L","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"E_S","Ia"
"E_L","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"D_S","Ia"
"D_S","Ia"
"D_S","Ia"
"D_L","Ia"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"D_S","Ib"
"D_S","Ib"
"D_S","Ib"
"D_L","Ib"
"E_S","Ib"
"E_S","Ib"
"E_S","Ib"
"E_L","Ib"
"A_S","IV"
"A_L","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"A_S","IV"
"A_L","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"A_S","IV"
"A_S","IV"
"A_S","IV"
"A_L","IV"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"E_S","Ic"
"E_S","Ic"
"E_S","Ic"
"E_S","Ic"
"E_S","Ic"
"E_S","Ic"
"E_S","Ic"
"E_L","Ic"
"D_S","V"
"D_L","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_L","V"
"D_S","V"
"D_L","V"
"E_S","V"
"E_S","V"
"E_S","V"
"E_L","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"D_L","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
