"state","section"
"E_L","Ia"
"G_L","Ia"
"C_L","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"E_L","Ia"
"F_L","Ia"
"G_L","Ia"
"F_L","Ia"
"E_S","Ia"
"E_L","Ia"
"Eb_L","Ia"
"D_S","Ia"
"D_L","Ia"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"F_L","Ib"
"G_L","Ib"
"F_S","Ib"
"F_L","Ib"
"E_L","Ib"
"Eb_L","Ib"
"D_L","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"R_L","IV"
"C_L","IV"
"F_L","IV"
"A_L","IV"
"C_L","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"C_L","IV"
"D_L","IV"
"C_L","IV"
"A_L","IV"
"C_S","IV"
"C_L","IV"
"C_L","IV"
"C_L","IV"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"E_L","Ic"
"Eb_L","Ic"
"D_L","Ic"
"C_S","Ic"
"C_L","Ic"
"E_S","Ic"
"E_L","Ic"
"C_L","Ic"
"D_L","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_L","V"
"D_L","V"
"D_L","V"
"E_S","V"
"E_S","V"
"E_S","V"
"E_L","V"
"D_S","V"
"D_S","V"
"D_S","V"
"D_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"D_L","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_L","Id"
