"state","section"
"E_L","Ia"
"G_L","Ia"
"A_L","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"Ab_L","Ia"
"A_L","Ia"
"C_L","Ia"
"D_L","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"A_L","Ia"
"G_L","Ia"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_S","Ib"
"G_L","Ib"
"A_L","IV"
"C_L","IV"
"D_L","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"C_L","IV"
"A_L","IV"
"C_L","IV"
"D_L","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"A_L","IV"
"G_L","IV"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_S","Ic"
"G_L","Ic"
"R_L","Ic"
"C_L","Ic"
"B_L","V"
"D_L","V"
"E_L","V"
"F_S","V"
"F_S","V"
"F_S","V"
"F_L","V"
"G_L","V"
"A_L","V"
"C_L","V"
"D_L","V"
"Eb_S","V"
"Eb_S","V"
"Eb_L","V"
"D_S","V"
"D_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
