"state","section"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"G_S","Ia"
"G_L","Ia"
"A_L","Ia"
"C_L","Ia"
"D_L","Ia"
"C_L","Ia"
"C_L","Ia"
"C_L","Ia"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"Eb_S","IV"
"Eb_S","IV"
"Eb_S","IV"
"Eb_L","IV"
"F_S","IV"
"F_S","IV"
"F_S","IV"
"F_L","IV"
"F_S","IV"
"F_L","IV"
"A_L","IV"
"C_L","IV"
"D_L","IV"
"C_L","IV"
"C_L","IV"
"C_L","IV"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"E_S","V"
"E_S","V"
"E_S","V"
"E_L","V"
"G_S","V"
"G_S","V"
"G_S","V"
"G_L","V"
"G_L","V"
"G_L","V"
"A_L","V"
"C_L","V"
"D_L","V"
"C_L","V"
"C_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
