"state","section"
"C_S","Ia"
"C_L","Ia"
"R_S","Ia"
"R_L","Ia"
"C_L","Ia"
"D_L","Ia"
"Eb_L","Ia"
"E_L","Ia"
"C_L","Ia"
"C_S","Ia"
"C_L","Ia"
"C_S","Ia"
"C_L","Ia"
"G_L","Ia"
"A_L","Ia"
"G_L","Ia"
"C_S","Ib"
"C_L","Ib"
"R_S","Ib"
"R_L","Ib"
"C_L","Ib"
"D_L","Ib"
"Eb_L","Ib"
"E_L","Ib"
"C_L","Ib"
"C_S","Ib"
"C_L","Ib"
"C_S","Ib"
"C_L","Ib"
"G_L","Ib"
"A_S","Ib"
"A_L","Ib"
"C_S","IV"
"C_L","IV"
"R_S","IV"
"R_L","IV"
"C_L","IV"
"D_L","IV"
"Eb_L","IV"
"E_L","IV"
"C_L","IV"
"C_S","IV"
"C_L","IV"
"C_S","IV"
"C_L","IV"
"G_L","IV"
"A_S","IV"
"A_L","IV"
"C_S","Ic"
"C_L","Ic"
"R_S","Ic"
"R_L","Ic"
"C_L","Ic"
"D_L","Ic"
"Eb_L","Ic"
"E_L","Ic"
"A_L","Ic"
"A_S","Ic"
"A_L","Ic"
"A_S","Ic"
"A_S","Ic"
"A_S","Ic"
"A_S","Ic"
"A_L","Ic"
"R_S","V"
"R_L","V"
"C_S","V"
"C_L","V"
"C_L","V"
"D_L","V"
"Eb_L","V"
"E_L","V"
"G_L","V"
"G_S","V"
"G_L","V"
"G_S","V"
"G_L","V"
"G_L","V"
"A_L","V"
"A_L","V"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_L","Id"
"C_L","Id"
"C_S","Id"
"C_L","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_L","Id"
