"state","section"
"Bb_S","Ia"
"Bb_L","Ia"
"A_S","Ia"
"A_L","Ia"
"G_L","Ia"
"G_L","Ia"
"A_L","Ia"
"G_L","Ia"
"Bb_S","Ia"
"Bb_L","Ia"
"A_L","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"G_L","Ia"
"Bb_L","Ib"
"Bb_L","Ib"
"A_S","Ib"
"A_L","Ib"
"G_L","Ib"
"G_L","Ib"
"A_L","Ib"
"G_L","Ib"
"Bb_S","Ib"
"Bb_L","Ib"
"A_L","Ib"
"G_S","Ib"
"G_L","Ib"
"C_L","Ib"
"D_L","Ib"
"C_L","Ib"
"Eb_S","IV"
"Eb_L","IV"
"D_L","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"C_S","IV"
"C_S","IV"
"C_S","IV"
"C_L","IV"
"R_L","IV"
"C_L","IV"
"D_L","IV"
"C_L","IV"
"Eb_S","Ic"
"Eb_L","Ic"
"D_L","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"R_L","Ic"
"E_L","Ic"
"F_L","Ic"
"Gb_L","Ic"
"G_S","V"
"G_L","V"
"G_S","V"
"G_L","V"
"G_S","V"
"G_S","V"
"G_S","V"
"G_L","V"
"R_S","V"
"R_L","V"
"Eb_L","V"
"E_L","V"
"G_S","V"
"G_L","V"
"G_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_L","Id"
