"state","section"
"E_L","Ia"
"G_L","Ia"
"E_L","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_S","Ia"
"C_L","Ia"
"C_L","Ia"
"A_L","Ia"
"C_L","Ia"
"D_L","Ia"
"Eb_S","Ia"
"Eb_L","Ia"
"D_L","Ia"
"C_L","Ia"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"A_L","IV"
"C_L","IV"
"D_L","IV"
"D_S","IV"
"D_S","IV"
"D_S","IV"
"D_S","IV"
"D_L","IV"
"R_L","IV"
"A_L","IV"
"C_L","IV"
"D_L","IV"
"Eb_S","IV"
"Eb_L","IV"
"D_L","IV"
"C_L","IV"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"B_L","V"
"D_L","V"
"B_L","V"
"G_S","V"
"G_S","V"
"G_S","V"
"G_S","V"
"G_L","V"
"R_L","V"
"Eb_L","V"
"Eb_L","V"
"C_L","V"
"Eb_S","V"
"Eb_L","V"
"D_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_L","Id"
"Eb_L","Id"
