"state","section"
"C_S","Ia"
"C_L","Ia"
"Eb_L","Ia"
"E_L","Ia"
"C_S","Ia"
"C_L","Ia"
"Eb_L","Ia"
"E_L","Ia"
"C_L","Ia"
"Eb_L","Ia"
"E_L","Ia"
"C_L","Ia"
"Eb_L","Ia"
"E_S","Ia"
"E_L","Ia"
"C_L","Ia"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_S","Ib"
"C_L","Ib"
"Eb_L","Ib"
"E_L","Ib"
"D_S","IV"
"D_L","IV"
"C_L","IV"
"A_L","IV"
"C_S","IV"
"C_L","IV"
"Eb_L","IV"
"E_L","IV"
"D_S","IV"
"D_L","IV"
"C_L","IV"
"A_L","IV"
"C_L","IV"
"Eb_L","IV"
"E_L","IV"
"C_L","IV"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_S","Ic"
"C_L","Ic"
"Eb_L","Ic"
"E_L","Ic"
"G_S","V"
"G_L","V"
"Eb_L","V"
"E_L","V"
"G_S","V"
"G_L","V"
"Eb_L","V"
"E_L","V"
"F_S","V"
"F_L","V"
"Eb_L","V"
"E_L","V"
"D_L","V"
"C_L","V"
"A_L","V"
"C_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"R_S","Id"
"R_L","Id"
