"state","section"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_S","Ia"
"G_L","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_S","Ia"
"E_L","Ia"
"C_S","Ib"
"C_L","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_L","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_S","Ib"
"R_L","Ib"
"R_L","IV"
"C_L","IV"
"D_L","IV"
"C_L","IV"
"Eb_L","IV"
"C_L","IV"
"D_S","IV"
"D_L","IV"
"R_S","IV"
"R_S","IV"
"R_S","IV"
"R_S","IV"
"R_S","IV"
"R_S","IV"
"R_S","IV"
"R_L","IV"
"R_L","Ic"
"G_L","Ic"
"A_L","Ic"
"G_L","Ic"
"Bb_L","Ic"
"G_L","Ic"
"A_S","Ic"
"A_L","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_S","Ic"
"R_L","Ic"
"G_S","V"
"G_L","V"
"G_L","V"
"G_S","V"
"G_S","V"
"G_S","V"
"G_S","V"
"G_L","V"
"G_S","V"
"G_L","V"
"F_L","V"
"F_L","V"
"E_L","V"
"E_L","V"
"D_S","V"
"D_L","V"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_S","Id"
"C_L","Id"
"C_S","Id"
"C_L","Id"
"E_S","Id"
"E_L","Id"
"F_S","Id"
"F_L","Id"
"Gb_S","Id"
"Gb_L","Id"
