"pitch","duration","value","section"
"E",0.0833333333333333,"t","Ia"
"F",0.0833333333333333,"t","Ia"
"Gb",0.0833333333333333,"t","Ia"
"G",0.0833333333333333,"t","Ia"
"Gb",0.0833333333333333,"t","Ia"
"F",0.0833333333333333,"t","Ia"
"E",0.5,"h","Ia"
"E",0.0833333333333333,"t","Ia"
"F",0.0833333333333333,"t","Ia"
"Gb",0.0833333333333333,"t","Ia"
"G",0.0833333333333333,"t","Ia"
"Gb",0.0833333333333333,"t","Ia"
"F",0.0833333333333333,"t","Ia"
"E",0.5,"h","Ia"
"E",0.0833333333333333,"t","Ib"
"F",0.0833333333333333,"t","Ib"
"Gb",0.0833333333333333,"t","Ib"
"G",0.0833333333333333,"t","Ib"
"Gb",0.0833333333333333,"t","Ib"
"F",0.0833333333333333,"t","Ib"
"E",0.0833333333333333,"t","Ib"
"F",0.0833333333333333,"t","Ib"
"Gb",0.0833333333333333,"t","Ib"
"G",0.0833333333333333,"t","Ib"
"Gb",0.0833333333333333,"t","Ib"
"F",0.0833333333333333,"t","Ib"
"E",0.0833333333333333,"t","Ib"
"F",0.0833333333333333,"t","Ib"
"Gb",0.0833333333333333,"t","Ib"
"G",0.0833333333333333,"t","Ib"
"Gb",0.0833333333333333,"t","Ib"
"F",0.0833333333333333,"t","Ib"
"E",0.5,"h","Ib"
"A",0.0833333333333333,"t","IV"
"Bb",0.0833333333333333,"t","IV"
"B",0.0833333333333333,"t","IV"
"C",0.0833333333333333,"t","IV"
"B",0.0833333333333333,"t","IV"
"Bb",0.0833333333333333,"t","IV"
"A",0.5,"h","IV"
"A",0.0833333333333333,"t","IV"
"Bb",0.0833333333333333,"t","IV"
"B",0.0833333333333333,"t","IV"
"C",0.0833333333333333,"t","IV"
"B",0.0833333333333333,"t","IV"
"Bb",0.0833333333333333,"t","IV"
"A",0.5,"h","IV"
"E",0.0833333333333333,"t","Ic"
"F",0.0833333333333333,"t","Ic"
"Gb",0.0833333333333333,"t","Ic"
"G",0.0833333333333333,"t","Ic"
"Gb",0.0833333333333333,"t","Ic"
"F",0.0833333333333333,"t","Ic"
"E",0.0833333333333333,"t","Ic"
"F",0.0833333333333333,"t","Ic"
"Gb",0.0833333333333333,"t","Ic"
"G",0.0833333333333333,"t","Ic"
"Gb",0.0833333333333333,"t","Ic"
"F",0.0833333333333333,"t","Ic"
"E",0.0833333333333333,"t","Ic"
"F",0.0833333333333333,"t","Ic"
"Gb",0.0833333333333333,"t","Ic"
"G",0.0833333333333333,"t","Ic"
"Gb",0.0833333333333333,"t","Ic"
"F",0.0833333333333333,"t","Ic"
"E",0.125,"e","Ic"
"A",0.25,"q","Ic"
"E",0.125,"e","Ic"
"A",0.25,"q","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"C",0.125,"e","V"
"A",0.375,"dq","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"G",0.25,"q","V"
"A",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"R",0.125,"e","Id"
"G",0.125,"e","Id"
