"pitch","duration","value","section"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"D",0.25,"q","Ia"
"C",0.125,"e","Ia"
"G",0.375,"dq","Ia"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"D",0.125,"e","Ia"
"C",0.625,"he","Ia"
"E",0.125,"e","Ib"
"G",0.125,"e","Ib"
"D",0.25,"q","Ib"
"C",0.125,"e","Ib"
"G",0.375,"dq","Ib"
"E",0.125,"e","Ib"
"G",0.125,"e","Ib"
"D",0.125,"e","Ib"
"C",0.625,"he","Ib"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"G",0.25,"q","IV"
"F",0.125,"e","IV"
"C",0.375,"dq","IV"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"G",0.125,"e","IV"
"F",0.625,"he","IV"
"E",0.125,"e","Ic"
"G",0.125,"e","Ic"
"D",0.25,"q","Ic"
"C",0.125,"e","Ic"
"G",0.375,"dq","Ic"
"E",0.25,"q","Ic"
"D",0.125,"e","Ic"
"Db",0.5,"h","Ic"
"A",0.125,"e","Ic"
"C",0.25,"q","V"
"C",0.125,"e","V"
"C",0.125,"e","V"
"A",0.125,"e","V"
"C",0.375,"dq","V"
"E",0.125,"e","V"
"F",0.125,"e","V"
"Gb",0.125,"e","V"
"G",0.125,"e","V"
"E",0.25,"q","V"
"G",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"R",0.25,"q","Id"
