"pitch","duration","value","section"
"R",0.125,"e","Ia"
"C",0.25,"q","Ia"
"C",0.125,"e","Ia"
"A",0.25,"q","Ia"
"A",0.25,"q","Ia"
"E",0.25,"q","Ia"
"E",0.125,"e","Ia"
"C",0.625,"he","Ia"
"R",0.125,"e","Ib"
"C",0.25,"q","Ib"
"C",0.125,"e","Ib"
"A",0.25,"q","Ib"
"A",0.25,"q","Ib"
"E",0.25,"q","Ib"
"E",0.125,"e","Ib"
"C",0.625,"he","Ib"
"R",0.125,"e","IV"
"C",0.25,"q","IV"
"C",0.125,"e","IV"
"A",0.25,"q","IV"
"A",0.25,"q","IV"
"Eb",0.25,"q","IV"
"Eb",0.125,"e","IV"
"C",0.625,"he","IV"
"R",0.125,"e","Ic"
"C",0.25,"q","Ic"
"C",0.125,"e","Ic"
"A",0.25,"q","Ic"
"A",0.25,"q","Ic"
"E",0.25,"q","Ic"
"E",0.125,"e","Ic"
"A",0.5,"h","Ic"
"E",0.125,"e","Ic"
"A",0.25,"q","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"C",0.125,"e","V"
"A",0.375,"dq","V"
"G",0.125,"e","V"
"F",0.125,"e","V"
"G",0.125,"e","V"
"F",0.125,"e","V"
"Eb",0.25,"q","V"
"D",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"R",0.25,"q","Id"
