"pitch","duration","value","section"
"C",0.75,"dh","Ia"
"R",0.125,"e","Ia"
"G",0.125,"e","Ia"
"Bb",0.25,"q","Ia"
"A",0.125,"e","Ia"
"G",0.375,"dq","Ia"
"G",0.125,"e","Ia"
"A",0.125,"e","Ia"
"C",0.75,"dh","Ib"
"R",0.125,"e","Ib"
"G",0.125,"e","Ib"
"Bb",0.125,"e","Ib"
"G",0.125,"e","Ib"
"A",0.125,"e","Ib"
"G",0.375,"dq","Ib"
"C",0.125,"e","Ib"
"D",0.125,"e","Ib"
"F",0.75,"dh","IV"
"R",0.125,"e","IV"
"C",0.125,"e","IV"
"Eb",0.25,"q","IV"
"D",0.125,"e","IV"
"C",0.625,"he","IV"
"E",0.125,"e","Ic"
"G",0.875,"ddh","Ic"
"B",0.25,"q","Ic"
"A",0.125,"e","Ic"
"E",0.625,"he","Ic"
"G",0.25,"q","V"
"G",0.125,"e","V"
"G",0.125,"e","V"
"F",0.125,"e","V"
"G",0.375,"dq","V"
"R",0.25,"q","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"G",0.0833333333333333,"t","V"
"E",0.0833333333333333,"t","V"
"Eb",0.0833333333333333,"t","V"
"D",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",1,"w","Id"
