"pitch","duration","value","section"
"R",0.25,"q","Ia"
"C",0.25,"q","Ia"
"G",0.25,"q","Ia"
"Ab",0.25,"q","Ia"
"A",0.125,"e","Ia"
"Ab",0.125,"e","Ia"
"A",0.125,"e","Ia"
"Bb",0.125,"e","Ia"
"A",0.25,"q","Ia"
"G",0.125,"e","Ia"
"G",0.125,"e","Ia"
"G",1,"w","Ib"
"G",0.75,"dh","Ib"
"R",0.25,"q","Ib"
"R",0.25,"q","IV"
"C",0.25,"q","IV"
"Ab",0.25,"q","IV"
"A",0.25,"q","IV"
"C",0.125,"e","IV"
"Ab",0.125,"e","IV"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"A",0.25,"q","IV"
"F",0.125,"e","IV"
"C",0.125,"e","IV"
"C",1,"w","Ic"
"C",0.75,"dh","Ic"
"R",0.125,"e","Ic"
"G",0.125,"e","Ic"
"Bb",0.125,"e","V"
"B",0.125,"e","V"
"Bb",0.125,"e","V"
"B",0.125,"e","V"
"A",0.125,"e","V"
"G",0.375,"dq","V"
"R",0.125,"e","V"
"G",0.125,"e","V"
"A",0.125,"e","V"
"B",0.125,"e","V"
"A",0.25,"q","V"
"G",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"R",0.25,"q","Id"
