"pitch","duration","value","section"
"G",0.25,"q","Ia"
"G",0.125,"e","Ia"
"G",0.25,"q","Ia"
"G",0.375,"dq","Ia"
"G",0.125,"e","Ia"
"Eb",0.125,"e","Ia"
"Eb",0.125,"e","Ia"
"C",0.125,"e","Ia"
"Eb",0.125,"e","Ia"
"D",0.25,"q","Ia"
"C",0.125,"e","Ia"
"C",1,"w","Ib"
"C",0.5,"h","Ib"
"G",0.375,"dq","Ib"
"C",0.125,"e","Ib"
"G",0.25,"q","IV"
"G",0.125,"e","IV"
"G",0.25,"q","IV"
"F",0.375,"dq","IV"
"R",0.125,"e","IV"
"G",0.125,"e","IV"
"G",0.125,"e","IV"
"F",0.125,"e","IV"
"Eb",0.25,"q","IV"
"D",0.125,"e","IV"
"C",0.125,"e","IV"
"C",1,"w","Ic"
"C",0.75,"dh","Ic"
"Eb",0.125,"e","Ic"
"E",0.125,"e","Ic"
"G",0.25,"q","V"
"G",0.125,"e","V"
"G",0.125,"e","V"
"F",0.125,"e","V"
"G",0.375,"dq","V"
"R",0.125,"e","V"
"G",0.125,"e","V"
"G",0.125,"e","V"
"F",0.125,"e","V"
"Eb",0.25,"q","V"
"D",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",1,"w","Id"
