"pitch","duration","value","section"
"G",0.125,"e","Ia"
"G",0.125,"e","Ia"
"R",0.75,"dh","Ia"
"G",0.125,"e","Ia"
"G",0.125,"e","Ia"
"R",0.25,"q","Ia"
"G",0.125,"e","Ia"
"G",0.125,"e","Ia"
"R",0.25,"q","Ia"
"G",0.375,"dq","Ib"
"C",0.125,"e","Ib"
"R",0.5,"h","Ib"
"R",1,"w","Ib"
"G",0.125,"e","IV"
"G",0.125,"e","IV"
"R",0.75,"dh","IV"
"G",0.125,"e","IV"
"G",0.125,"e","IV"
"R",0.25,"q","IV"
"G",0.125,"e","IV"
"G",0.125,"e","IV"
"R",0.25,"q","IV"
"G",0.375,"dq","Ic"
"C",0.125,"e","Ic"
"R",0.5,"h","Ic"
"R",1,"w","Ic"
"G",0.125,"e","V"
"G",0.125,"e","V"
"R",0.75,"dh","V"
"G",0.125,"e","V"
"G",0.125,"e","V"
"R",0.25,"q","V"
"G",0.125,"e","V"
"G",0.125,"e","V"
"R",0.25,"q","V"
"G",0.375,"dq","Id"
"C",0.125,"e","Id"
"R",0.5,"h","Id"
"R",1,"w","Id"
