"pitch","duration","value","section"
"E",0.25,"q","Ia"
"E",0.125,"e","Ia"
"C",0.375,"dq","Ia"
"G",0.125,"e","Ia"
"Eb",0.125,"e","Ia"
"E",0.25,"q","Ia"
"E",0.125,"e","Ia"
"C",0.375,"dq","Ia"
"R",0.125,"e","Ia"
"Eb",0.125,"e","Ia"
"E",0.25,"q","Ib"
"E",0.125,"e","Ib"
"Eb",0.125,"e","Ib"
"E",0.25,"q","Ib"
"E",0.125,"e","Ib"
"Eb",0.125,"e","Ib"
"E",0.5,"h","Ib"
"R",0.125,"e","Ib"
"A",0.25,"q","Ib"
"F",0.125,"e","Ib"
"A",0.25,"q","IV"
"A",0.125,"e","IV"
"F",0.375,"dq","IV"
"A",0.125,"e","IV"
"Ab",0.125,"e","IV"
"A",0.125,"e","IV"
"Ab",0.125,"e","IV"
"A",0.125,"e","IV"
"F",0.375,"dq","IV"
"G",0.125,"e","IV"
"Gb",0.125,"e","IV"
"G",0.25,"q","Ic"
"G",0.125,"e","Ic"
"Gb",0.125,"e","Ic"
"G",0.25,"q","Ic"
"G",0.125,"e","Ic"
"Gb",0.125,"e","Ic"
"G",0.5,"h","Ic"
"G",0.125,"e","Ic"
"A",0.125,"e","Ic"
"B",0.125,"e","Ic"
"G",0.125,"e","Ic"
"A",0.25,"q","V"
"A",0.125,"e","V"
"G",0.375,"dq","V"
"R",0.25,"q","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"D",0.125,"e","V"
"E",0.125,"e","V"
"G",0.125,"e","V"
"E",0.125,"e","V"
"Eb",0.125,"e","V"
"D",0.125,"e","V"
"C",0.375,"dq","Id"
"C",0.125,"e","Id"
"G",0.125,"e","Id"
"G",0.125,"e","Id"
"G",0.25,"q","Id"
"C",0.75,"dh","Id"
"G",0.125,"e","Id"
"Eb",0.125,"e","Id"
