"pitch","duration","value","section"
"E",1,"w","Ia"
"C",1,"w","Ia"
"G",1,"w","Ib"
"E",1,"w","Ib"
"A",1,"w","IV"
"C",0.25,"q","IV"
"A",0.25,"q","IV"
"C",0.25,"q","IV"
"A",0.25,"q","IV"
"G",1,"w","Ic"
"E",0.5,"h","Ic"
"G",0.125,"e","Ic"
"A",0.125,"e","Ic"
"B",0.125,"e","Ic"
"G",0.125,"e","Ic"
"A",0.125,"e","V"
"G",0.125,"e","V"
"A",0.125,"e","V"
"G",0.625,"he","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"G",0.125,"e","V"
"G",0.125,"e","V"
"G",0.25,"q","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"G",0.125,"e","Id"
"Eb",0.125,"e","Id"
