"pitch","duration","value","section"
"G",1,"w","Ia"
"R",0.125,"e","Ia"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"E",0.125,"e","Ia"
"G",1,"w","Ib"
"R",0.125,"e","Ib"
"E",0.125,"e","Ib"
"G",0.125,"e","Ib"
"E",0.125,"e","Ib"
"G",0.125,"e","Ib"
"E",0.125,"e","Ib"
"G",0.125,"e","Ib"
"E",0.125,"e","Ib"
"A",1,"w","IV"
"R",0.125,"e","IV"
"F",0.125,"e","IV"
"A",0.125,"e","IV"
"F",0.125,"e","IV"
"A",0.125,"e","IV"
"F",0.125,"e","IV"
"A",0.125,"e","IV"
"F",0.125,"e","IV"
"A",0.75,"dh","Ic"
"A",0.125,"e","Ic"
"G",0.125,"e","Ic"
"G",0.5,"h","Ic"
"R",0.25,"q","Ic"
"G",0.0833333333333333,"t","Ic"
"A",0.0833333333333333,"t","Ic"
"Bb",0.0833333333333333,"t","Ic"
"B",0.375,"dq","V"
"A",0.125,"e","V"
"G",0.125,"e","V"
"F",0.375,"dq","V"
"C",0.375,"dq","V"
"A",0.125,"e","V"
"G",0.0833333333333333,"t","V"
"A",0.0833333333333333,"t","V"
"G",0.0833333333333333,"t","V"
"Eb",0.25,"q","V"
"C",1,"w","Id"
"R",0.125,"e","Id"
"E",0.125,"e","Id"
"G",0.125,"e","Id"
"E",0.125,"e","Id"
"G",0.125,"e","Id"
"E",0.125,"e","Id"
"G",0.125,"e","Id"
"E",0.125,"e","Id"
