"pitch","duration","value","section"
"E",0.375,"dq","Ia"
"Eb",0.125,"e","Ia"
"E",0.25,"q","Ia"
"F",0.125,"e","Ia"
"G",0.125,"e","Ia"
"G",1,"w","Ia"
"G",0.25,"q","Ib"
"G",0.25,"q","Ib"
"G",0.25,"q","Ib"
"A",0.125,"e","Ib"
"Bb",0.125,"e","Ib"
"Bb",1,"w","Ib"
"F",0.25,"q","IV"
"F",0.25,"q","IV"
"C",0.125,"e","IV"
"A",0.375,"dq","IV"
"Eb",0.25,"q","IV"
"D",0.25,"q","IV"
"C",0.125,"e","IV"
"A",0.25,"q","IV"
"C",0.125,"e","IV"
"C",1,"w","Ic"
"C",0.5,"h","Ic"
"R",0.125,"e","Ic"
"Eb",0.125,"e","Ic"
"E",0.125,"e","Ic"
"Eb",0.125,"e","Ic"
"E",0.25,"q","V"
"D",0.25,"q","V"
"B",0.125,"e","V"
"G",0.375,"dq","V"
"Eb",0.25,"q","V"
"D",0.25,"q","V"
"C",0.25,"q","V"
"A",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.5,"h","Id"
"R",0.125,"e","Id"
"G",0.125,"e","Id"
"Gb",0.125,"e","Id"
"F",0.125,"e","Id"
