"pitch","duration","value","section"
"E",0.25,"q","Ia"
"G",0.25,"q","Ia"
"E",0.375,"dq","Ia"
"G",0.125,"e","Ia"
"F",0.125,"e","Ia"
"F",0.125,"e","Ia"
"G",0.25,"q","Ia"
"B",0.25,"q","Ia"
"D",0.125,"e","Ia"
"C",0.125,"e","Ia"
"C",1,"w","Ib"
"R",0.75,"dh","Ib"
"C",0.0833333333333333,"t","Ib"
"D",0.0833333333333333,"t","Ib"
"D",0.0833333333333333,"t","Ib"
"Eb",0.125,"e","IV"
"Eb",0.125,"e","IV"
"D",0.25,"q","IV"
"C",0.125,"e","IV"
"A",0.375,"dq","IV"
"Eb",0.125,"e","IV"
"D",0.125,"e","IV"
"Eb",0.125,"e","IV"
"D",0.125,"e","IV"
"C",0.25,"q","IV"
"A",0.125,"e","IV"
"G",0.125,"e","IV"
"G",1,"w","Ic"
"G",0.5,"h","Ic"
"R",0.125,"e","Ic"
"E",0.25,"q","Ic"
"D",0.125,"e","Ic"
"E",0.125,"e","V"
"E",0.125,"e","V"
"F",0.25,"q","V"
"E",0.125,"e","V"
"D",0.125,"e","V"
"B",0.125,"e","V"
"G",0.125,"e","V"
"F",0.25,"q","V"
"G",0.25,"q","V"
"B",0.25,"q","V"
"D",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"R",0.25,"q","Id"
