"pitch","duration","value","section"
"C",0.125,"e","Ia"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"A",0.25,"q","Ia"
"G",0.125,"e","Ia"
"E",0.25,"q","Ia"
"C",0.25,"q","Ia"
"C",0.75,"dh","Ia"
"C",0.125,"e","Ib"
"E",0.125,"e","Ib"
"G",0.125,"e","Ib"
"A",0.25,"q","Ib"
"G",0.125,"e","Ib"
"E",0.25,"q","Ib"
"C",1,"w","Ib"
"F",0.125,"e","IV"
"G",0.125,"e","IV"
"A",0.125,"e","IV"
"C",0.25,"q","IV"
"A",0.125,"e","IV"
"C",0.25,"q","IV"
"A",0.25,"q","IV"
"A",0.75,"dh","IV"
"C",0.25,"q","Ic"
"C",0.125,"e","Ic"
"C",0.125,"e","Ic"
"B",0.25,"q","Ic"
"A",0.125,"e","Ic"
"G",0.125,"e","Ic"
"G",0.25,"q","Ic"
"E",0.25,"q","Ic"
"E",0.25,"q","Ic"
"Eb",0.125,"e","Ic"
"D",0.125,"e","Ic"
"D",1,"w","V"
"D",0.125,"e","V"
"G",0.125,"e","V"
"A",0.125,"e","V"
"G",0.125,"e","V"
"A",0.125,"e","V"
"G",0.125,"e","V"
"E",0.25,"q","V"
"C",1,"w","Id"
"C",0.25,"q","Id"
"R",0.75,"dh","Id"
