"pitch","duration","value","section"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"C",0.125,"e","Ia"
"E",0.5,"h","Ia"
"E",0.125,"e","Ia"
"F",0.125,"e","Ia"
"G",0.125,"e","Ia"
"F",0.125,"e","Ia"
"E",0.25,"q","Ia"
"Eb",0.125,"e","Ia"
"D",0.25,"q","Ia"
"C",0.5,"h","Ib"
"F",0.125,"e","Ib"
"G",0.125,"e","Ib"
"F",0.25,"q","Ib"
"E",0.125,"e","Ib"
"Eb",0.125,"e","Ib"
"D",0.125,"e","Ib"
"C",0.625,"he","Ib"
"R",0.125,"e","IV"
"C",0.125,"e","IV"
"F",0.125,"e","IV"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"C",0.375,"dq","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"C",0.125,"e","IV"
"A",0.125,"e","IV"
"C",0.25,"q","IV"
"C",0.125,"e","IV"
"C",0.125,"e","IV"
"C",1,"w","Ic"
"E",0.125,"e","Ic"
"Eb",0.125,"e","Ic"
"D",0.125,"e","Ic"
"C",0.25,"q","Ic"
"E",0.25,"q","Ic"
"C",0.125,"e","Ic"
"D",0.125,"e","V"
"D",0.625,"he","V"
"D",0.125,"e","V"
"D",0.125,"e","V"
"E",0.5,"h","V"
"D",0.5,"h","V"
"C",0.5,"h","Id"
"D",0.125,"e","Id"
"C",0.375,"dq","Id"
"C",0.75,"dh","Id"
"R",0.25,"q","Id"
