"pitch","duration","value","section"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"A",0.125,"e","Ia"
"G",0.5,"h","Ia"
"Ab",0.125,"e","Ia"
"A",0.125,"e","Ia"
"C",0.125,"e","Ia"
"D",0.125,"e","Ia"
"C",0.375,"dq","Ia"
"A",0.125,"e","Ia"
"G",0.125,"e","Ia"
"G",1,"w","Ib"
"G",1,"w","Ib"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"C",0.5,"h","IV"
"C",0.125,"e","IV"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"C",0.375,"dq","IV"
"A",0.125,"e","IV"
"G",0.125,"e","IV"
"G",1,"w","Ic"
"G",0.75,"dh","Ic"
"R",0.125,"e","Ic"
"C",0.125,"e","Ic"
"B",0.125,"e","V"
"D",0.125,"e","V"
"E",0.125,"e","V"
"F",0.5,"h","V"
"G",0.125,"e","V"
"A",0.125,"e","V"
"C",0.125,"e","V"
"D",0.125,"e","V"
"Eb",0.375,"dq","V"
"D",0.25,"q","V"
"C",1,"w","Id"
"C",1,"w","Id"
