"pitch","duration","value","section"
"E",0.5,"h","Ia"
"G",0.5,"h","Ia"
"G",0.25,"q","Ia"
"A",0.125,"e","Ia"
"C",0.125,"e","Ia"
"D",0.125,"e","Ia"
"C",0.125,"e","Ia"
"C",0.125,"e","Ia"
"C",0.125,"e","Ia"
"C",1,"w","Ib"
"C",1,"w","Ib"
"Eb",0.5,"h","IV"
"F",0.5,"h","IV"
"F",0.25,"q","IV"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"C",0.125,"e","IV"
"C",0.125,"e","IV"
"C",0.125,"e","IV"
"C",1,"w","Ic"
"C",1,"w","Ic"
"E",0.5,"h","V"
"G",0.5,"h","V"
"G",0.125,"e","V"
"G",0.125,"e","V"
"A",0.125,"e","V"
"C",0.125,"e","V"
"D",0.125,"e","V"
"C",0.125,"e","V"
"C",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",1,"w","Id"
