"pitch","duration","value","section"
"C",0.25,"q","Ia"
"R",0.25,"q","Ia"
"C",0.125,"e","Ia"
"D",0.125,"e","Ia"
"Eb",0.125,"e","Ia"
"E",0.125,"e","Ia"
"C",0.125,"e","Ia"
"C",0.25,"q","Ia"
"C",0.25,"q","Ia"
"G",0.125,"e","Ia"
"A",0.125,"e","Ia"
"G",0.125,"e","Ia"
"C",0.25,"q","Ib"
"R",0.25,"q","Ib"
"C",0.125,"e","Ib"
"D",0.125,"e","Ib"
"Eb",0.125,"e","Ib"
"E",0.125,"e","Ib"
"C",0.125,"e","Ib"
"C",0.25,"q","Ib"
"C",0.25,"q","Ib"
"G",0.125,"e","Ib"
"A",0.25,"q","Ib"
"C",0.25,"q","IV"
"R",0.25,"q","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"Eb",0.125,"e","IV"
"E",0.125,"e","IV"
"C",0.125,"e","IV"
"C",0.25,"q","IV"
"C",0.25,"q","IV"
"G",0.125,"e","IV"
"A",0.25,"q","IV"
"C",0.25,"q","Ic"
"R",0.25,"q","Ic"
"C",0.125,"e","Ic"
"D",0.125,"e","Ic"
"Eb",0.125,"e","Ic"
"E",0.125,"e","Ic"
"A",0.125,"e","Ic"
"A",0.25,"q","Ic"
"A",0.625,"he","Ic"
"R",0.25,"q","V"
"C",0.25,"q","V"
"C",0.125,"e","V"
"D",0.125,"e","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"G",0.125,"e","V"
"G",0.25,"q","V"
"G",0.25,"q","V"
"G",0.125,"e","V"
"A",0.125,"e","V"
"A",0.125,"e","V"
"C",0.25,"q","Id"
"C",0.25,"q","Id"
"C",0.125,"e","Id"
"C",0.25,"q","Id"
"C",0.125,"e","Id"
"C",0.75,"dh","Id"
"R",0.25,"q","Id"
