"pitch","duration","value","section"
"Bb",0.25,"q","Ia"
"A",0.25,"q","Ia"
"G",0.125,"e","Ia"
"G",0.125,"e","Ia"
"A",0.125,"e","Ia"
"G",0.125,"e","Ia"
"Bb",0.25,"q","Ia"
"A",0.125,"e","Ia"
"G",0.5,"h","Ia"
"G",0.125,"e","Ia"
"Bb",0.125,"e","Ib"
"Bb",0.125,"e","Ib"
"A",0.25,"q","Ib"
"G",0.125,"e","Ib"
"G",0.125,"e","Ib"
"A",0.125,"e","Ib"
"G",0.125,"e","Ib"
"Bb",0.25,"q","Ib"
"A",0.125,"e","Ib"
"G",0.25,"q","Ib"
"C",0.125,"e","Ib"
"D",0.125,"e","Ib"
"C",0.125,"e","Ib"
"Eb",0.25,"q","IV"
"D",0.125,"e","IV"
"C",0.625,"he","IV"
"C",0.5,"h","IV"
"R",0.125,"e","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"C",0.125,"e","IV"
"Eb",0.25,"q","Ic"
"D",0.125,"e","Ic"
"C",0.625,"he","Ic"
"C",0.5,"h","Ic"
"R",0.125,"e","Ic"
"E",0.125,"e","Ic"
"F",0.125,"e","Ic"
"Gb",0.125,"e","Ic"
"G",0.25,"q","V"
"G",0.25,"q","V"
"G",0.5,"h","V"
"R",0.25,"q","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"G",0.25,"q","V"
"G",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"R",0.25,"q","Id"
