"pitch","duration","value","section"
"E",0.125,"e","Ia"
"G",0.125,"e","Ia"
"E",0.125,"e","Ia"
"C",0.625,"he","Ia"
"C",0.125,"e","Ia"
"A",0.125,"e","Ia"
"C",0.125,"e","Ia"
"D",0.125,"e","Ia"
"Eb",0.25,"q","Ia"
"D",0.125,"e","Ia"
"C",0.125,"e","Ia"
"C",1,"w","Ib"
"C",1,"w","Ib"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"D",0.625,"he","IV"
"R",0.125,"e","IV"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"Eb",0.25,"q","IV"
"D",0.125,"e","IV"
"C",0.125,"e","IV"
"C",1,"w","Ic"
"C",1,"w","Ic"
"B",0.125,"e","V"
"D",0.125,"e","V"
"B",0.125,"e","V"
"G",0.625,"he","V"
"R",0.125,"e","V"
"Eb",0.125,"e","V"
"Eb",0.125,"e","V"
"C",0.125,"e","V"
"Eb",0.25,"q","V"
"D",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"R",0.125,"e","Id"
"Eb",0.125,"e","Id"
