"pitch","duration","value","section"
"C",0.25,"q","Ia"
"Eb",0.125,"e","Ia"
"E",0.125,"e","Ia"
"C",0.25,"q","Ia"
"Eb",0.125,"e","Ia"
"E",0.125,"e","Ia"
"C",0.125,"e","Ia"
"Eb",0.125,"e","Ia"
"E",0.125,"e","Ia"
"C",0.125,"e","Ia"
"Eb",0.125,"e","Ia"
"E",0.25,"q","Ia"
"C",0.125,"e","Ia"
"C",1,"w","Ib"
"C",0.75,"dh","Ib"
"Eb",0.125,"e","Ib"
"E",0.125,"e","Ib"
"D",0.25,"q","IV"
"C",0.125,"e","IV"
"A",0.125,"e","IV"
"C",0.25,"q","IV"
"Eb",0.125,"e","IV"
"E",0.125,"e","IV"
"D",0.25,"q","IV"
"C",0.125,"e","IV"
"A",0.125,"e","IV"
"C",0.125,"e","IV"
"Eb",0.125,"e","IV"
"E",0.125,"e","IV"
"C",0.125,"e","IV"
"C",1,"w","Ic"
"C",0.75,"dh","Ic"
"Eb",0.125,"e","Ic"
"E",0.125,"e","Ic"
"G",0.25,"q","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"G",0.25,"q","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"F",0.25,"q","V"
"Eb",0.125,"e","V"
"E",0.125,"e","V"
"D",0.125,"e","V"
"C",0.125,"e","V"
"A",0.125,"e","V"
"C",0.125,"e","V"
"C",1,"w","Id"
"C",0.75,"dh","Id"
"R",0.25,"q","Id"
