"pitch","duration","value","section"
"G",1,"w","Ia"
"E",1,"w","Ia"
"C",0.25,"q","Ib"
"R",0.75,"dh","Ib"
"R",1,"w","Ib"
"R",0.125,"e","IV"
"C",0.125,"e","IV"
"D",0.125,"e","IV"
"C",0.125,"e","IV"
"Eb",0.125,"e","IV"
"C",0.125,"e","IV"
"D",0.25,"q","IV"
"R",1,"w","IV"
"R",0.125,"e","Ic"
"G",0.125,"e","Ic"
"A",0.125,"e","Ic"
"G",0.125,"e","Ic"
"Bb",0.125,"e","Ic"
"G",0.125,"e","Ic"
"A",0.25,"q","Ic"
"R",1,"w","Ic"
"G",0.25,"q","V"
"G",0.125,"e","V"
"G",0.625,"he","V"
"G",0.25,"q","V"
"F",0.125,"e","V"
"F",0.125,"e","V"
"E",0.125,"e","V"
"E",0.125,"e","V"
"D",0.25,"q","V"
"C",1,"w","Id"
"C",0.25,"q","Id"
"E",0.25,"q","Id"
"F",0.25,"q","Id"
"Gb",0.25,"q","Id"
